,PM25_complete,PM25_with_gaps,gap_mask,PM25_repaired
2025-11-05 22:00:00,18.2,,True,8.916863358020782
2025-11-05 23:00:00,14.5,14.5,False,9.554580813646316
2025-11-06 00:00:00,12.0,12.0,False,10.218069350719452
2025-11-06 01:00:00,10.6,10.6,False,10.453344082832336
2025-11-06 02:00:00,9.1,9.1,False,10.341359710693359
2025-11-06 03:00:00,5.5,5.5,False,10.139983570575714
2025-11-06 04:00:00,7.7,7.7,False,9.749458199739456
2025-11-06 05:00:00,7.4,7.4,False,9.433555370569229
2025-11-06 06:00:00,6.4,6.4,False,9.103025114536285
2025-11-06 07:00:00,5.1,5.1,False,8.784881389141082
2025-11-06 08:00:00,4.7,4.7,False,8.467580324411392
2025-11-06 09:00:00,6.1,6.1,False,8.178598469495773
2025-11-06 10:00:00,7.3,7.3,False,7.960773980617523
2025-11-06 11:00:00,7.8,7.8,False,7.789985066652298
2025-11-06 12:00:00,7.0,7.0,False,7.687774783372879
2025-11-06 13:00:00,7.7,7.7,False,7.598630195856094
2025-11-06 14:00:00,6.5,6.5,False,7.499102866649627
2025-11-06 15:00:00,7.6,7.6,False,7.390684789419174
2025-11-06 16:00:00,7.7,7.7,False,7.2968309879302975
2025-11-06 17:00:00,6.7,6.7,False,7.296924358606338
2025-11-06 18:00:00,4.8,4.8,False,7.266894257068634
2025-11-06 19:00:00,5.2,5.2,False,7.1237508118152615
2025-11-06 20:00:00,7.2,7.2,False,6.984514987468719
2025-11-06 21:00:00,17.0,,True,7.002862519025802
2025-11-06 22:00:00,22.3,,True,7.082059836387634
2025-11-06 23:00:00,26.7,,True,7.104786103963852
2025-11-07 00:00:00,24.0,,True,7.126923865079879
2025-11-07 01:00:00,18.3,,True,7.041449016332626
2025-11-07 02:00:00,15.0,15.0,False,6.93497467637062
2025-11-07 03:00:00,10.4,10.4,False,7.016234672069549
2025-11-07 04:00:00,8.5,8.5,False,7.0225753545761105
2025-11-07 05:00:00,6.1,6.1,False,7.012120163440704
2025-11-07 06:00:00,4.6,4.6,False,6.94533417224884
2025-11-07 07:00:00,6.2,6.2,False,6.947035378217697
2025-11-07 08:00:00,10.6,10.6,False,6.985179042816162
2025-11-07 09:00:00,14.7,14.7,False,7.052409416437149
2025-11-07 10:00:00,13.3,13.3,False,7.183604127168655
2025-11-07 11:00:00,9.0,9.0,False,7.2975957751274105
2025-11-07 12:00:00,6.6,6.6,False,7.338384813070297
2025-11-07 13:00:00,8.3,8.3,False,7.320738142728805
2025-11-07 14:00:00,7.7,7.7,False,7.32271054983139
2025-11-07 15:00:00,5.5,5.5,False,7.441297507286071
2025-11-07 16:00:00,6.6,6.6,False,7.418448424339294
2025-11-07 17:00:00,7.3,7.3,False,7.365239924192428
2025-11-07 18:00:00,4.1,4.1,False,7.33194533586502
2025-11-07 19:00:00,7.1,7.1,False,7.281664645671844
2025-11-07 20:00:00,11.7,11.7,False,7.444892084598541
2025-11-07 21:00:00,15.6,15.6,False,7.980525171756744
2025-11-07 22:00:00,16.1,16.1,False,8.925026124715805
2025-11-07 23:00:00,15.2,15.2,False,9.70241487622261
2025-11-08 00:00:00,11.4,11.4,False,9.837381607294082
2025-11-08 01:00:00,8.5,8.5,False,9.135403043031692
2025-11-08 02:00:00,9.3,9.3,False,8.201105839014053
2025-11-08 03:00:00,7.5,7.5,False,7.857097274065017
2025-11-08 04:00:00,4.7,4.7,False,7.834577119350433
2025-11-08 05:00:00,4.7,4.7,False,7.966765588521957
2025-11-08 06:00:00,5.8,5.8,False,7.953412419557571
2025-11-08 07:00:00,6.0,6.0,False,7.951067304611206
2025-11-08 08:00:00,8.9,8.9,False,8.052345043420791
2025-11-08 09:00:00,12.2,12.2,False,8.152631735801696
2025-11-08 10:00:00,11.9,11.9,False,8.297293132543563
2025-11-08 11:00:00,9.9,9.9,False,8.320318496227264
2025-11-08 12:00:00,9.6,9.6,False,8.169797992706298
2025-11-08 13:00:00,8.2,8.2,False,8.001437491178512
2025-11-08 14:00:00,5.2,5.2,False,7.763949757814407
2025-11-08 15:00:00,4.9,4.9,False,7.534894829988479
2025-11-08 16:00:00,4.3,4.3,False,7.2386672556400296
2025-11-08 17:00:00,4.2,4.2,False,6.99377611875534
2025-11-08 18:00:00,7.1,7.1,False,6.700504636764526
2025-11-08 19:00:00,6.9,6.9,False,6.373689061403275
2025-11-08 20:00:00,4.3,4.3,False,6.301667338609696
2025-11-08 21:00:00,4.4,4.4,False,6.047235926985741
2025-11-08 22:00:00,5.1,5.1,False,5.9683239519596105
2025-11-08 23:00:00,4.6,4.6,False,5.9627790510654455
2025-11-09 00:00:00,5.6,5.6,False,5.882609090209008
2025-11-09 01:00:00,5.4,5.4,False,5.875858700275422
2025-11-09 02:00:00,6.1,6.1,False,5.909455290436745
2025-11-09 03:00:00,7.3,7.3,False,5.95982470214367
2025-11-09 04:00:00,8.1,8.1,False,5.87865943312645
2025-11-09 05:00:00,6.9,6.9,False,5.757248884439469
2025-11-09 06:00:00,5.6,5.6,False,5.851662909984589
2025-11-09 07:00:00,5.1,5.1,False,6.4781390786170965
2025-11-09 08:00:00,6.7,6.7,False,6.805731257796287
2025-11-09 09:00:00,7.9,7.9,False,6.897530323266983
2025-11-09 10:00:00,6.9,6.9,False,7.010771906375885
2025-11-09 11:00:00,4.5,4.5,False,7.055749064683914
2025-11-09 12:00:00,7.2,7.2,False,6.963832026720047
2025-11-09 13:00:00,5.1,5.1,False,6.852758502960205
2025-11-09 14:00:00,7.4,7.4,False,6.674446469545364
2025-11-09 15:00:00,6.7,6.7,False,6.566127187013626
2025-11-09 16:00:00,6.4,6.4,False,6.458765825629235
2025-11-09 17:00:00,4.6,4.6,False,6.403502976894379
2025-11-09 18:00:00,4.9,4.9,False,6.298870092630387
2025-11-09 19:00:00,6.7,6.7,False,6.245107567310334
2025-11-09 20:00:00,9.1,9.1,False,6.288106700778008
2025-11-09 21:00:00,10.4,10.4,False,6.3635325789451604
2025-11-09 22:00:00,8.7,8.7,False,6.424278920888901
2025-11-09 23:00:00,6.3,6.3,False,6.628746172785759
2025-11-10 00:00:00,4.9,4.9,False,6.940740412473678
2025-11-10 01:00:00,7.9,7.9,False,7.39156619310379
2025-11-10 02:00:00,7.6,7.6,False,7.86445534825325
2025-11-10 03:00:00,6.3,6.3,False,8.025143182277679
2025-11-10 04:00:00,9.2,9.2,False,8.10450050830841
2025-11-10 05:00:00,7.0,7.0,False,8.366056954860687
