,PM25_complete,PM25_with_gaps,gap_mask,PM25_repaired
2025-11-06 01:00:00,10.6,,True,7.927084942162037
2025-11-06 02:00:00,9.1,9.1,False,8.638762219995261
2025-11-06 03:00:00,5.5,5.5,False,9.764635066688061
2025-11-06 04:00:00,7.7,7.7,False,10.986782504618168
2025-11-06 05:00:00,7.4,,True,11.679628165066243
2025-11-06 06:00:00,6.4,6.4,False,11.887129382789135
2025-11-06 07:00:00,5.1,5.1,False,12.028900031745435
2025-11-06 08:00:00,4.7,4.7,False,11.997744439542293
2025-11-06 09:00:00,6.1,6.1,False,11.831754277646542
2025-11-06 10:00:00,7.3,7.3,False,11.70846992880106
2025-11-06 11:00:00,7.8,7.8,False,11.722144763171674
2025-11-06 12:00:00,7.0,,True,11.69682239741087
2025-11-06 13:00:00,7.7,,True,11.659305128455163
2025-11-06 14:00:00,6.5,,True,11.776548114418985
2025-11-06 15:00:00,7.6,7.6,False,12.101097697019577
2025-11-06 16:00:00,7.7,7.7,False,12.478638276457787
2025-11-06 17:00:00,6.7,6.7,False,12.826428860425949
2025-11-06 18:00:00,4.8,4.8,False,13.217033380270005
2025-11-06 19:00:00,5.2,5.2,False,13.668679992854596
2025-11-06 20:00:00,7.2,7.2,False,14.269803708791732
2025-11-06 21:00:00,17.0,17.0,False,14.870613868534566
2025-11-06 22:00:00,22.3,,True,15.437377502024175
2025-11-06 23:00:00,26.7,26.7,False,16.173292538523675
2025-11-07 00:00:00,24.0,,True,16.872760722041132
2025-11-07 01:00:00,18.3,18.3,False,17.496433453261854
2025-11-07 02:00:00,15.0,15.0,False,18.068901917338373
2025-11-07 03:00:00,10.4,10.4,False,18.37866975814104
2025-11-07 04:00:00,8.5,8.5,False,18.508818554878236
2025-11-07 05:00:00,6.1,6.1,False,18.259957653284072
2025-11-07 06:00:00,4.6,4.6,False,18.04511759877205
2025-11-07 07:00:00,6.2,6.2,False,17.85449976027012
2025-11-07 08:00:00,10.6,10.6,False,17.604998230934143
2025-11-07 09:00:00,14.7,14.7,False,17.372524695098402
2025-11-07 10:00:00,13.3,13.3,False,17.163597607612612
2025-11-07 11:00:00,9.0,,True,17.081360737979413
2025-11-07 12:00:00,6.6,,True,17.005154418945313
2025-11-07 13:00:00,8.3,,True,17.08148372769356
2025-11-07 14:00:00,7.7,7.7,False,17.312643571197988
2025-11-07 15:00:00,5.5,,True,17.655602416396142
2025-11-07 16:00:00,6.6,,True,18.041741463541985
2025-11-07 17:00:00,7.3,7.3,False,18.454225988686087
2025-11-07 18:00:00,4.1,4.1,False,18.880132611095906
2025-11-07 19:00:00,7.1,7.1,False,19.317565126717092
2025-11-07 20:00:00,11.7,11.7,False,19.746985740959644
2025-11-07 21:00:00,15.6,15.6,False,20.1220705807209
2025-11-07 22:00:00,16.1,16.1,False,20.363852140307426
2025-11-07 23:00:00,15.2,15.2,False,20.315738834440708
2025-11-08 00:00:00,11.4,11.4,False,20.002151554822923
2025-11-08 01:00:00,8.5,,True,19.515494771301746
2025-11-08 02:00:00,9.3,9.3,False,17.479013514518737
2025-11-08 03:00:00,7.5,7.5,False,15.867165733873845
2025-11-08 04:00:00,4.7,,True,14.780920578539371
2025-11-08 05:00:00,4.7,4.7,False,12.631828047335148
2025-11-08 06:00:00,5.8,5.8,False,12.214163087308407
2025-11-08 07:00:00,6.0,6.0,False,12.293273855745793
2025-11-08 08:00:00,8.9,8.9,False,12.426915019750595
2025-11-08 09:00:00,12.2,12.2,False,13.095827692747116
2025-11-08 10:00:00,11.9,11.9,False,12.228466385602951
2025-11-08 11:00:00,9.9,,True,11.741723103821277
2025-11-08 12:00:00,9.6,9.6,False,11.435836872458458
2025-11-08 13:00:00,8.2,8.2,False,11.276738189160824
2025-11-08 14:00:00,5.2,,True,10.761680242419244
2025-11-08 15:00:00,4.9,4.9,False,11.385698966681957
2025-11-08 16:00:00,4.3,4.3,False,12.063989943265915
2025-11-08 17:00:00,4.2,4.2,False,12.656605744361878
2025-11-08 18:00:00,7.1,7.1,False,13.879237031936645
2025-11-08 19:00:00,6.9,6.9,False,14.681302964687347
2025-11-08 20:00:00,4.3,,True,14.16002930700779
2025-11-08 21:00:00,4.4,,True,13.55175461769104
2025-11-08 22:00:00,5.1,5.1,False,12.815596304833889
2025-11-08 23:00:00,4.6,4.6,False,12.190578795969486
2025-11-09 00:00:00,5.6,5.6,False,11.977042973041534
2025-11-09 01:00:00,5.4,5.4,False,11.70817664563656
2025-11-09 02:00:00,6.1,6.1,False,11.189310072362423
2025-11-09 03:00:00,7.3,7.3,False,10.575375153124332
2025-11-09 04:00:00,8.1,8.1,False,10.043347328901291
2025-11-09 05:00:00,6.9,6.9,False,9.550620800256729
2025-11-09 06:00:00,5.6,,True,9.100691313296556
2025-11-09 07:00:00,5.1,5.1,False,8.697980077937245
2025-11-09 08:00:00,6.7,6.7,False,8.45504633449018
2025-11-09 09:00:00,7.9,7.9,False,8.51428716853261
2025-11-09 10:00:00,6.9,6.9,False,8.699674903228878
2025-11-09 11:00:00,4.5,4.5,False,9.038614282384515
2025-11-09 12:00:00,7.2,7.2,False,9.470816694200039
2025-11-09 13:00:00,5.1,,True,10.214373311400413
